Name,Team,Position,Height,Weight,Age
Jorge Posada,NYY,C,74,205,35.54
Wil Nieves,NYY,C,71,190,29.43
Andy Phillips,NYY,1B,72,205,29.9
Doug Mientkiewicz,NYY,1B,74,206,32.7
Josh Phelps,NYY,1B,75,220,28.8
Miguel Cairo,NYY,2B,73,208,32.82
Robinson Cano,NYY,2B,72,170,24.36
Derek Jeter,NYY,SS,75,195,32.68
Alex Rodriguez,NYY,3B,75,210,31.59
Johnny Damon,NYY,OF,74,190,33.32
Bobby Abreu,NYY,OF,72,211,32.97
Hideki Matsui,NYY,OF,74,230,32.72
Melky Cabrera,NYY,OF,71,170,22.55
Kevin Thompson,NYY,OF,70,185,27.45
Jason Giambi,NYY,DH,75,230,36.14
Mike Mussina,NYY,P,74,185,38.23
Carl Pavano,NYY,P,77,241,31.14
Andy Pettitte,NYY,P,77,225,34.71
Darrell Rasner,NYY,P,75,210,26.13
Jeff Karstens,NYY,P,75,175,24.43
Humberto Sanchez,NYY,P,78,230,23.76
Chien-Ming Wang,NYY,P,75,200,26.92
Sean Henn,NYY,P,76,215,25.85
Scott Proctor,NYY,P,73,198,30.16
Brian Bruney,NYY,P,75,226,25.03
Chris Britton,NYY,P,75,278,24.21
T.J. Beam,NYY,P,79,215,26.51
Jose Veras,NYY,P,77,230,26.36
Kyle Farnsworth,NYY,P,76,240,30.88
Luis Vizcaino,NYY,P,71,184,32.57
Mike Myers,NYY,P,75,219,37.68
Mariano Rivera,NYY,P,74,170,37.25
